,customerid,firstname,lastname,email,phone,streetaddress,city,state,country,dateofbirth,registrationdate,isactive,latitude,longitude,postalcode
0,69,Emily,Taylor,jenniferbarnes@example.org,001-421-993-6191x573,"Lake Andrea, Pleasant Prairie, Kenosha County, Wisconsin, United States",Lake Andrea,Wisconsin,United States,2005-12-30,2021-03-06 09:18:25,True,42.531818,-87.918653,
1,70,Ethan,Jones,jesseharrison@example.org,506.995.6901,"Gibsonville, Guilford County, North Carolina, United States",Gibsonville,North Carolina,United States,1966-11-02,2023-05-19 09:49:13,False,36.09792,-79.545833,
2,71,Sandra,Tanner,cunninghamerica@example.net,915-744-5575,"Kelly Park Hills South, Orange County, Florida, United States",South Kelly,Florida,United States,1960-09-11,2020-03-13 23:07:29,True,28.755521,-81.531793,
3,72,Evan,Kelley,christina14@example.com,352.388.7200,"Mileston, Holmes County, Mississippi, United States",Mileston,Mississippi,United States,2002-06-11,2021-03-06 13:57:44,False,33.110405,-90.27342,
4,73,Christine,Clark,underwoodshawn@example.com,(664)665-2897,"Lake Elizabeth, Los Angeles County, California, United States",Lake Elizabeth,California,United States,1954-07-05,2021-08-31 12:36:45,False,34.666136,-118.39968,93532
5,74,Matthew,Johnson,ramirezalexander@example.net,740-926-2028,"Kelly Park Hills South, Orange County, Florida, United States",South Kelly,Florida,United States,1991-07-26,2020-03-26 23:36:06,False,28.755521,-81.531793,
6,75,Megan,Rhodes,joannsalazar@example.net,955-706-3887,"Sharon Mountain-North Peak, Sharon, Northwest Hills Planning Region, Connecticut, United States",North Sharon,Connecticut,United States,1967-07-06,2022-03-09 08:19:16,False,41.917316,-73.380397,
7,76,Carrie,Garcia,pierceashley@example.org,+1-777-492-6713x8384,"Kemptown, Frederick County, Maryland, United States",Kemptown,Maryland,United States,1976-07-22,2022-06-16 03:32:00,False,39.336493,-77.227761,
8,77,Wayne,Grimes,wpitts@example.net,(276)608-3907x88669,"Lake Donna, Cold Bay, Aleutians East, Alaska, United States",Lake Donna,Alaska,United States,2004-12-05,2022-11-02 16:44:03,False,55.178376,-162.708417,
9,78,Lance,Austin,romeromarie@example.com,(614)932-9907x505,"North Fork St. Michael Creek, Lawrence County, South Dakota, United States",North Michael,South Dakota,United States,1967-02-06,2020-10-17 09:31:18,True,44.549732,-104.010111,
10,79,Richard,Yu,ianderson@example.org,001-948-221-8465,"Bradyville, Lincoln County, West Virginia, United States",Bradyville,West Virginia,United States,2003-01-14,2020-06-10 11:55:52,False,38.146481,-82.183751,25557
11,80,Briana,Potter,hunterallison@example.com,301-248-7866,"North Saint Anthony Park, Saint Anthony Park, Saint Paul, Ramsey County, Minnesota, United States",North Anthony,Minnesota,United States,2006-01-09,2020-06-25 08:37:56,False,44.982396,-93.195807,55108
12,81,Kelly,Moore,kimwebb@example.org,001-369-713-7837x242,"New Sharon, Mahaska County, Iowa, United States",New Sharon,Iowa,United States,1933-09-27,2023-09-27 14:37:06,True,41.469736,-92.651431,
13,82,Kimberly,Sanchez,stacey52@example.com,595-271-8529x8473,"Lake Austin, Austin, Travis County, Texas, United States",Lake Austin,Texas,United States,1995-09-29,2021-03-22 10:42:44,True,30.343489,-97.884577,
14,83,James,Cooper,tony41@example.org,(964)294-0683x11058,"Lake Heather, Wall Township, Monmouth County, New Jersey, United States",Lake Heather,New Jersey,United States,1966-05-21,2024-01-16 21:32:34,True,40.193453,-74.114101,
15,84,Jennifer,George,fwarren@example.org,860-971-6889,"West Queen Anne Playfield, 150, Queen Anne, Seattle, King County, Washington, United States",West Anne,Washington,United States,1973-07-24,2022-01-21 09:51:10,False,47.635211,-122.359668,98119
